Make,Car Name,Car Type,Car Class,Country,Collection,Add-Ons
Honda,1972 Honda Z GT,Eclectic Domestics,100 D,Japan,Autoshow DLC,Car Pass
Honda,1974 Honda Civic RS,Retro Hot Hatch,254 D,Japan,"Collection Journal, Seasonal",
Honda,1984 Honda City E II,Eclectic Domestics,203 D,Japan,"Autoshow, Collection Journal, Wheelspin",
Honda,1984 Honda Civic CRX Mugen,Retro Sports Cars,390 D,Japan,"Collection Journal, Seasonal",
Honda,1986 Honda Civic Si,Retro Hot Hatch,253 D,Japan,Autoshow,
Honda,1990 Honda #19 101 Motorsport CRX WTAC,Extreme Track Toys,877 S2,Japan,Autoshow DLC,Time Attack Car Pack
Honda,1991 Honda Beat,Eclectic Domestics,283 D,Japan,"Autoshow, Collection Journal, Wheelspin",
Honda,1991 Honda CR-X SiR,Retro Hot Hatch,465 C,Japan,Seasonal,
Honda,1992 Honda #21 Hardrace/JDMYard Civic WTAC,Extreme Track Toys,913 R,Japan,Autoshow DLC,Time Attack Car Pack
Honda,1992 Honda NSX-R,Retro Sports Cars,572 B,Japan,"Autoshow, Wheelspin",
Honda,1994 Honda Acty,Eclectic Domestics,100 D,Japan,"Autoshow, Collection Journal, Wheelspin",
Honda,1994 Honda Prelude Si,Retro Hot Hatch,410 C,Japan,"Autoshow, Collection Journal, Wheelspin",
Honda,1997 Honda Civic Type R,Retro Hot Hatch,430 C,Japan,"Autoshow, Wheelspin",
Honda,2001 Honda #33 Integra WTAC,Extreme Track Toys,860 S2,Japan,Autoshow DLC,Time Attack Car Pack
Honda,2003 Honda S2000,Modern Sports Cars,503 B,Japan,"Autoshow, Wheelspin",
Honda,2004 Honda #52 Evasive Motorsports S2000 WTAC,Extreme Track Toys,888 S2,Japan,Autoshow DLC,Time Attack Car Pack
Honda,2004 Honda Civic Type R,Retro Hot Hatch,480 C,Japan,"Autoshow, Wheelspin",
Honda,2005 Honda NSX-R,Retro Sports Cars,570 B,Japan,"Autoshow, Collection Journal",
Honda,2005 Honda NSX-R GT,Retro Sports Cars,608 A,Japan,Collection Journal,
Honda,2007 Honda Civic Type R,Hot Hatch,454 C,Japan,"Autoshow, Wheelspin",
Honda,2008 Honda Civic Type R (FD2),Retro Super Saloons,514 B,Japan,Autoshow DLC,Car Pass
Honda,2015 Honda Civic Type R,Super Hot Hatch,585 B,Japan,"Autoshow, Wheelspin",
Honda,2015 Honda Ridgeline Baja Trophy Truck,Unlimited Offroad,580 B,Japan,"Autoshow, Wheelspin",
Honda,2018 Honda Civic Type R,Super Hot Hatch,608 A,Japan,"Autoshow, Wheelspin",
Honda,2022 Honda e,Hot Hatch,398 D,Japan,"Autoshow, Wheelspin",
Honda,2023 Honda Civic Type R,Super Hot Hatch,620 A,Japan,"Autoshow, Collection Journal, Wheelspin",
HSV,2014 HSV GEN-F GTS,Modern Muscle,601 A,Australia,"Autoshow, Wheelspin",
HSV,2014 HSV Limited Edition GEN-F GTS Maloo,Utility Heroes,629 A,Australia,"Autoshow, Wheelspin",
Hyundai,2019 Hyundai Veloster N,Super Hot Hatch,532 B,Korea,"Autoshow, Wheelspin",
Hyundai,2020 Hyundai i30 N,Super Hot Hatch,553 B,Korea,"Autoshow, Wheelspin",
Hyundai,2021 Hyundai i20 N,Hot Hatch,564 B,Korea,"Autoshow, Wheelspin",
Hyundai,2022 Hyundai N Vision 74,Track Toys,692 A,Korea,"Autoshow, Wheelspin",
Hyundai,2023 Hyundai IONIQ 5 N,Sports Utility Heroes,657 A,Korea,"Autoshow, Wheelspin",
Jaguar,1956 Jaguar D-Type,Classic Racers,506 B,UK,"Autoshow, Wheelspin",
Jaguar,1961 Jaguar E-type,Rare Classics,414 C,UK,"Wheelspin, Seasonal",
Jaguar,1964 Jaguar Lightweight E-Type,Classic Racers,568 B,UK,"Autoshow, Wheelspin",
Jaguar,1991 Jaguar Sport XJR-15,Retro Supercars,716 S1,UK,"Autoshow, Collection Journal",
Jaguar,1993 Jaguar XJ220,Retro Supercars,676 A,UK,"Autoshow, Wheelspin",
Jaguar,1993 Jaguar XJ220S TWR,Retro Supercars,750 S1,UK,"Autoshow, Wheelspin",
Jaguar,2010 Jaguar C-X75,Modern Supercars,810 S2,UK,"Autoshow, Wheelspin",
Jeep,2012 Jeep Wrangler Rubicon,Pickups & 4x4's,350 D,USA,"Autoshow, Wheelspin",
Jeep,2016 Jeep Trailcat,Unlimited Offroad,635 A,USA,"Autoshow, Wheelspin",
Jeep,2018 Jeep Grand Cherokee Trackhawk,Sports Utility Heroes,631 A,USA,"Autoshow, Wheelspin",
Jeep,2020 Jeep JT,Pickups & 4x4's,336 D,USA,"Autoshow, Wheelspin",
Jimco,2019 Jimco #240 Fastball Racing Class 6100 Spec Trophy Truck,Unlimited Offroad,511 B,USA,"Autoshow, Wheelspin",
Jimco,2020 Jimco #179 Hammerhead Class 1,Unlimited Buggies,652 A,USA,"Autoshow, Wheelspin",
Koenigsegg,2008 Koenigsegg CCGT,Extreme Track Toys,900 S2,Sweden,"Autoshow, Wheelspin",
Koenigsegg,2011 Koenigsegg Agera,Hypercars,810 S2,Sweden,"Autoshow, Wheelspin",
Koenigsegg,2015 Koenigsegg One:1,Hypercars,890 S2,Sweden,"Wheelspin, Seasonal",
Koenigsegg,2016 Koenigsegg Regera,Hypercars,886 S2,Sweden,Autoshow,
Koenigsegg,2017 Koenigsegg Agera RS,Hypercars,890 S2,Sweden,"Autoshow, Collection Journal",
Koenigsegg,2020 Koenigsegg Jesko,Hypercars,899 S2,Sweden,"Autoshow, Wheelspin",
Koenigsegg,2024 Koenigsegg Gemera,Hypercars,900 S2,Sweden,Autoshow DLC,Car Pass
KTM,2018 KTM X-Bow GT4,Extreme Track Toys,749 S1,Austria,"Autoshow, Wheelspin",
Lamborghini,1967 Lamborghini Miura P400,Rare Classics,505 B,Italy,"Autoshow, Wheelspin",
Lamborghini,1988 Lamborghini Countach LP5000 QV,Retro Supercars,622 A,Italy,Seasonal,
Lamborghini,1997 Lamborghini Diablo SV,Retro Supercars,649 A,Italy,Collection Journal,
Lamborghini,1999 Lamborghini Diablo GTR,Extreme Track Toys,823 S2,Italy,"Wheelspin, Seasonal",
Lamborghini,2010 Lamborghini Murciélago LP 670-4 SV,Modern Supercars,707 S1,Italy,"Autoshow, Wheelspin",
Lamborghini,2011 Lamborghini Sesto Elemento,Extreme Track Toys,871 S2,Italy,"Wheelspin, Seasonal",
Lamborghini,2012 Lamborghini Aventador LP700-4,Hypercars,753 S1,Italy,"Wheelspin, Seasonal",
Lamborghini,2012 Lamborghini Gallardo LP570-4 Spyder Performante,Modern Supercars,685 A,Italy,"Autoshow, Wheelspin",
Lamborghini,2013 Lamborghini Veneno,Hypercars,834 S2,Italy,"Autoshow, Wheelspin",
Lamborghini,2014 Lamborghini Huracán LP 610-4,Modern Supercars,738 S1,Italy,"Autoshow, Wheelspin, Loyalty",
Lamborghini,2016 Lamborghini Centenario LP 770-4,Hypercars,792 S1,Italy,"Autoshow, Wheelspin, Loyalty",
Lamborghini,2018 Lamborghini Aventador SVJ,Hypercars,794 S1,Italy,"Autoshow, Wheelspin",
Lamborghini,2019 Lamborghini Urus,Sports Utility Heroes,659 A,Italy,"Autoshow, Collection Journal",
Lamborghini,2020 Lamborghini Essenza SCV12,Extreme Track Toys,911 R,Italy,"Autoshow, Wheelspin",
Lamborghini,2020 Lamborghini Huracán EVO,Modern Supercars,761 S1,Italy,Seasonal,
Lamborghini,2020 Lamborghini Huracán STO,Track Toys,783 S1,Italy,"Autoshow, Wheelspin",
Lamborghini,2020 Lamborghini Sián Roadster,Hypercars,797 S1,Italy,"Autoshow, Wheelspin",
Lamborghini,2021 Lamborghini Countach LPI 800-4,Hypercars,773 S1,Italy,"Autoshow, Wheelspin",
Lamborghini,2022 Lamborghini Aventador LP 780-4 Ultimae,Hypercars,794 S1,Italy,Seasonal,
Lamborghini,2022 Lamborghini Huracán Sterrato,Rally Monsters,738 S1,Italy,"Collection Journal, Seasonal",
Lamborghini,2022 Lamborghini Huracán Tecnica,Modern Supercars,747 S1,Italy,"Autoshow, Wheelspin",
Lamborghini,2024 Lamborghini Revuelto,Hypercars,829 S2,Italy,"Autoshow, Collection Journal",
Lancia,1974 Lancia Stratos HF Stradale,Classic Rally,483 C,Italy,Collection Journal,
Lancia,1986 Lancia Delta S4,Retro Rally,564 B,Italy,"Autoshow, Wheelspin",
Lancia,1992 Lancia Delta HF Integrale EVO,Retro Rally,489 C,Italy,"Autoshow, Wheelspin",
Land Rover,2015 Land Rover Range Rover Sport SVR,Sports Utility Heroes,604 A,UK,"Autoshow, Collection Journal",
Land Rover,2020 Land Rover Defender 110 X,Sports Utility Heroes,427 C,UK,Autoshow,
Lexus,2010 Lexus LFA,Modern Supercars,699 A,USA,Autoshow,
Lexus,2010 Lexus LFA Forza Edition,Extreme Track Toys,900 S2,USA,"Collection Journal, Seasonal",
Lexus,2015 Lexus RC F,Modern Super Saloons,623 A,USA,"Autoshow, Wheelspin",
Lexus,2021 Lexus LC 500,GT Cars,592 B,USA,"Autoshow, Wheelspin",
Lincoln,1962 Lincoln Continental,Rods and Customs,267 D,USA,Collection Journal,
Lotus,1997 Lotus Elise GT1,Retro Supercars,709 S1,UK,"Autoshow, Wheelspin",
Lotus,1999 Lotus Elise Series 1 Sport 190,Retro Sports Cars,589 B,UK,"Autoshow, Wheelspin",
Lotus,2018 Lotus Exige Cup 430,Track Toys,732 S1,UK,Seasonal,
Lotus,2018 Lotus Scura Motorsports Exige WTAC,Extreme Track Toys,998 R,UK,"Collection Journal, Seasonal",
Lotus,2020 Lotus Evija,Hypercars,937 R,UK,"Autoshow, Wheelspin",
Lotus,2020 Lotus Evija Forza Edition,Drift Cars,900 S2,UK,Autoshow DLC,VIP
Lotus,2023 Lotus Emira,Modern Sports Cars,656 A,UK,Seasonal,
Lucid,2024 Lucid Air Sapphire,Modern Super Saloons,820 S2,USA,"Autoshow, Wheelspin",
Maserati,1997 Maserati Ghibli Cup,Retro Sports Cars,591 B,Italy,"Autoshow, Collection Journal",
Maserati,2004 Maserati MC12,Retro Supercars,751 S1,Italy,Seasonal,
Maserati,2008 Maserati MC12 Versione Corsa,Extreme Track Toys,912 R,Italy,"Autoshow, Wheelspin",
Maserati,2022 Maserati MC20,Modern Supercars,753 S1,Italy,"Autoshow, Wheelspin",
Mazda,1972 Mazda Cosmo 110S Series II,Classic Sports Cars,394 D,Japan,Seasonal,
Mazda,1973 Mazda RX-3,Classic Sports Cars,328 D,Japan,"Autoshow, Wheelspin",
Mazda,1973 Mazda RX-3 Forza Edition,Classic Sports Cars,600 B,Japan,Aftermarket,
Mazda,1974 Mazda #123 Mad Mike 808 Wagon 'FURSTY',Drift Cars,702 S1,Japan,Autoshow DLC,Car Pass
Mazda,1985 Mazda RX-7 GSL-SE,Retro Sports Cars,357 D,Japan,Collection Journal,
Mazda,1990 Mazda Savanna RX-7,Retro Sports Cars,451 C,Japan,"Autoshow, Wheelspin",
Mazda,1991 Mazda #55 Mazda 787B,Retro Racers,988 R,Japan,Collection Journal,
Mazda,1992 Mazda RX-7 Type R,Retro Sports Cars,548 B,Japan,"Autoshow, Collection Journal",
Mazda,1994 Mazda MX-5 Miata,Retro Sports Cars,329 D,Japan,"Autoshow, Wheelspin",
Mazda,1994 Mazda MX-5 Miata Forza Edition,Retro Sports Cars,850 S2,Japan,Aftermarket,
Mazda,2005 Mazda Mazdaspeed MX-5,Retro Sports Cars,469 C,Japan,"Autoshow, Wheelspin",
Mazda,2008 Mazda Furai,Extreme Track Toys,926 R,Japan,Seasonal,
Mazda,2010 Mazda Mazdaspeed 3,Hot Hatch,536 B,Japan,"Autoshow, Wheelspin",
Mazda,2011 Mazda RX-8 R3,Modern Sports Cars,508 B,Japan,"Autoshow, Wheelspin",
Mazda,2013 Mazda MX-5,Modern Sports Cars,432 C,Japan,"Autoshow, Wheelspin",
Mazda,2016 Mazda MX-5,Modern Sports Cars,499 C,Japan,Autoshow,
Mazda,2017 Mazda MX-5 Cup,Track Toys,586 B,Japan,"Autoshow, Collection Journal",
Mazda,2022 Mazda MX-5 Miata RF,Modern Sports Cars,509 B,Japan,"Autoshow, Wheelspin",
McLaren,1993 McLaren F1,Retro Supercars,713 S1,UK,"Autoshow, Wheelspin",
McLaren,1997 McLaren F1 GT,Retro Supercars,769 S1,UK,"Autoshow, Wheelspin",
McLaren,2011 McLaren 12C Coupé,Modern Supercars,727 S1,UK,"Autoshow, Wheelspin",
McLaren,2013 McLaren P1,Hypercars,848 S2,UK,"Autoshow, Wheelspin",
McLaren,2014 McLaren 650S Spider,Modern Supercars,765 S1,UK,"Autoshow, Wheelspin",
McLaren,2015 McLaren 570S Coupé,Modern Supercars,721 S1,UK,"Autoshow, Wheelspin",
McLaren,2018 McLaren 600LT Coupé,Track Toys,780 S1,UK,Autoshow,
McLaren,2019 McLaren Speedtail,Hypercars,835 S2,UK,"Autoshow, Wheelspin",
McLaren,2021 McLaren 620R,Track Toys,773 S1,UK,"Wheelspin, Seasonal",
McLaren,2021 McLaren 765LT Coupé,Track Toys,829 S2,UK,"Autoshow, Wheelspin",
McLaren,2021 McLaren Sabre,Hypercars,787 S1,UK,Seasonal,
McLaren,2023 McLaren Artura,Modern Supercars,766 S1,UK,"Autoshow, Wheelspin",
Mercedes-AMG,2015 Mercedes-AMG GT S,Super GT,691 A,Germany,"Autoshow, Wheelspin",
Mercedes-AMG,2016 Mercedes-AMG C 63 S Coupé,Modern Super Saloons,645 A,Germany,"Autoshow, Wheelspin",
Mercedes-AMG,2017 Mercedes-AMG GT R,Super GT,764 S1,Germany,Seasonal,
Mercedes-AMG,2018 Mercedes-AMG E 63 S,Modern Super Saloons,674 A,Germany,"Autoshow, Wheelspin",
Mercedes-AMG,2018 Mercedes-AMG GT 4-Door Coupé,Modern Super Saloons,664 A,Germany,"Wheelspin, Seasonal",
Mercedes-AMG,2020 Mercedes-AMG GT Black Series,Track Toys,782 S1,Germany,"Autoshow, Wheelspin",
Mercedes-AMG,2020 Mercedes-AMG GT Black Series Welcome Pack,Track Toys,900 S2,Germany,Autoshow DLC,Welcome Pack
Mercedes-AMG,2020 Mercedes-AMG SLC 43 Final Edition,Modern Sports Cars,620 A,Germany,"Autoshow, Wheelspin",
Mercedes-AMG,2021 Mercedes-AMG Mercedes-AMG ONE,Hypercars,900 S2,Germany,"Autoshow, Wheelspin",
Mercedes-AMG,2021 Mercedes-AMG SL 63,GT Cars,690 A,Germany,"Autoshow, Wheelspin",
Mercedes-Benz,1954 Mercedes-Benz 300 SL Coupé,Rare Classics,388 D,Germany,"Autoshow, Wheelspin",
Mercedes-Benz,1955 Mercedes-Benz 300 SLR,Classic Racers,599 B,Germany,"Autoshow, Wheelspin",
Mercedes-Benz,1987 Mercedes-Benz AMG Hammer Coupe,Retro Super Saloons,565 B,Germany,"Autoshow, Wheelspin",
Mercedes-Benz,1990 Mercedes-Benz 190 E 2.5-16 Evolution II,Retro Super Saloons,460 C,Germany,Autoshow,
Mercedes-Benz,1990 Mercedes-Benz 190 E 2.5-16 Evolution II Forza Edition,Track Toys,700 A,Germany,"Wheelspin, Seasonal",
Mercedes-Benz,1998 Mercedes-Benz AMG CLK GTR,Retro Supercars,713 S1,Germany,"Wheelspin, Seasonal",
Mercedes-Benz,2009 Mercedes-Benz SL 65 AMG Black Series,Super GT,699 A,Germany,"Autoshow, Wheelspin",
Mercedes-Benz,2012 Mercedes-Benz C 63 AMG Coupé Black Series,Modern Super Saloons,654 A,Germany,Autoshow,
Mercedes-Benz,2013 Mercedes-Benz A 45 AMG,Super Hot Hatch,582 B,Germany,"Autoshow, Wheelspin",
Mercedes-Benz,2013 Mercedes-Benz G 65 AMG,Pickups & 4x4's,530 B,Germany,"Autoshow, Collection Journal",
Mercedes-Benz,2014 Mercedes-Benz G 63 AMG 6x6,Pickups & 4x4's,489 C,Germany,"Wheelspin, Seasonal",
Mercedes-Benz,2014 Mercedes-Benz Unimog U5023,Offroad,100 D,Germany,"Autoshow, Wheelspin",
Mercedes-Benz,2018 Mercedes-Benz X-Class,Pickups & 4x4's,258 D,Germany,"Autoshow, Wheelspin",
Meyers,1971 Meyers Manx,Buggies,201 D,USA,"Autoshow, Wheelspin",
Meyers,2023 Meyers Manx 2.0,Buggies,540 B,USA,"Autoshow, Wheelspin",
MG,1986 MG Metro 6R4,Rally Monsters,627 A,UK,"Autoshow, Collection Journal, Wheelspin",
MINI,1965 MINI Cooper S,Classic Rally,158 D,UK,"Autoshow, Wheelspin",
MINI,2012 MINI John Cooper Works GP,Hot Hatch,509 B,UK,"Autoshow, Wheelspin",
MINI,2013 MINI X-Raid All4 Racing Countryman,Offroad,523 B,UK,"Autoshow, Wheelspin",
MINI,2018 MINI X-raid John Cooper Works Buggy,Offroad,514 B,UK,"Collection Journal, Seasonal",
MINI,2021 MINI John Cooper Works GP,Super Hot Hatch,599 B,UK,Seasonal,
Mitsubishi,1990 Mitsubishi #269 Attacking the Clock Racing Minicab Time Attack,Track Toys,166 D,Japan,Autoshow DLC,Time Attack Car Pack
Mitsubishi,1992 Mitsubishi Galant VR-4,Retro Rally,431 C,Japan,"Autoshow, Wheelspin",
Mitsubishi,1995 Mitsubishi Eclipse GSX,Retro Sports Cars,436 C,Japan,"Autoshow, Wheelspin",
Mitsubishi,1995 Mitsubishi Lancer Evolution III GSR,Retro Rally,518 B,Japan,Collection Journal,
Mitsubishi,1995 Mitsubishi Montero Exceed 2800 TD,Pickups & 4x4's,190 D,Japan,"Autoshow, Wheelspin",
Mitsubishi,1997 Mitsubishi GTO,Retro Sports Cars,495 C,Japan,"Autoshow, Wheelspin",
Mitsubishi,1997 Mitsubishi Montero Evolution,Pickups & 4x4's,346 D,Japan,Collection Journal,
Mitsubishi,2001 Mitsubishi Lancer Evolution VI GSR TM Edition,Retro Rally,574 B,Japan,Autoshow,
Mitsubishi,2004 Mitsubishi Lancer Evolution VIII MR,Modern Rally,555 B,Japan,"Autoshow, Wheelspin",
Mitsubishi,2004 Mitsubishi Lancer Evolution VIII MR Welcome Pack,Modern Rally,700 A,Japan,Autoshow DLC,Welcome Pack
Mitsubishi,2005 Mitsubishi #1 Sierra Sierra Enterprises Lancer Evolution Time Attack,Extreme Track Toys,962 R,Japan,Collection Journal,
Mitsubishi,2006 Mitsubishi Lancer Evolution IX MR,Modern Rally,521 B,Japan,Seasonal,
Mitsubishi,2008 Mitsubishi Lancer Evolution X GSR,Modern Rally,534 B,Japan,"Autoshow, Wheelspin",
Nissan,1969 Nissan Fairlady Z 432,Classic Sports Cars,369 D,Japan,"Autoshow, Wheelspin",
Nissan,1971 Nissan Skyline 2000GT-R,Classic Sports Cars,380 D,Japan,Collection Journal,
Nissan,1972 Nissan Patrol,Offroad,157 D,Japan,Autoshow DLC,Car Pass
Nissan,1973 Nissan Skyline H/T 2000GT-R,Classic Sports Cars,407 C,Japan,"Autoshow, Wheelspin",
Nissan,1983 Nissan #11 Tomica Skyline Turbo Super Silhouette,Retro Racers,847 S2,Japan,Collection Journal,
Nissan,1985 Nissan Safari Turbo,Pickups & 4x4's,123 D,Japan,Collection Journal,
Nissan,1987 Nissan Be-1,Eclectic Domestics,175 D,Japan,Seasonal,
Nissan,1987 Nissan Skyline GTS-R,Retro Sports Cars,432 C,Japan,Autoshow,
Nissan,1989 Nissan PAO,Eclectic Domestics,145 D,Japan,Collection Journal,
Nissan,1989 Nissan S-Cargo,Eclectic Domestics,131 D,Japan,"Autoshow, Wheelspin",
Nissan,1989 Nissan S-Cargo Forza Edition,Track Toys,800 S1,Japan,"Wheelspin, Seasonal",
Nissan,1989 Nissan Silvia K's,Retro Sports Cars,455 C,Japan,Autoshow,
Nissan,1990 Nissan #12 Skyline GT-R (BNR32 Gr.A) JTC,Retro Racers,858 S2,Japan,Autoshow DLC,Car Pass
Nissan,1990 Nissan Pulsar GTI-R,Retro Rally,486 C,Japan,"Autoshow, Wheelspin",
Nissan,1991 Nissan Figaro,Eclectic Domestics,234 D,Japan,Collection Journal,
Nissan,1992 Nissan Skyline GT-R,Retro Sports Cars,541 B,Japan,"Autoshow, Wheelspin",
Nissan,1993 Nissan #32 Skyline WTAC 'Xtreme GTR',Extreme Track Toys,923 R,Japan,Autoshow DLC,Time Attack Car Pack
Nissan,1993 Nissan 240SX,Retro Sports Cars,339 D,Japan,"Wheelspin, Seasonal",
Nissan,1994 Nissan Fairlady Z Version S Twin Turbo,Retro Sports Cars,497 C,Japan,Autoshow,
Nissan,1994 Nissan Silvia K's,Retro Sports Cars,499 C,Japan,"Autoshow, Wheelspin",
Nissan,1995 Nissan Gloria Gran Turismo,Retro Super Saloons,498 C,Japan,"Autoshow, Wheelspin",
Nissan,1995 Nissan NISMO GT-R LM,Retro Sports Cars,545 B,Japan,"Autoshow, Wheelspin",
Nissan,1997 Nissan Skyline GT-R V-Spec,Retro Sports Cars,555 B,Japan,Seasonal,
Nissan,1997 Nissan Stagea RS Four V,Retro Super Saloons,439 C,Japan,"Autoshow, Wheelspin",
Nissan,1998 Nissan #23 Pennzoil NISMO Skyline GT-R,Retro Racers,848 S2,Japan,Collection Journal,
Nissan,1998 Nissan R390 (GT1),Retro Supercars,774 S1,Japan,Collection Journal,
Nissan,1998 Nissan Silvia K's Aero,Retro Sports Cars,494 C,Japan,"Autoshow, Wheelspin",
Nissan,1998 Nissan Skyline GT-R 40th Anniversary,Retro Sports Cars,547 B,Japan,Autoshow DLC,Car Pass
Nissan,2000 Nissan #36 Dream Project S15 Silvia WTAC,Extreme Track Toys,996 R,Japan,Autoshow DLC,Time Attack Car Pack
Nissan,2000 Nissan Skyline GT-R V Spec II,Retro Sports Cars,590 B,Japan,"Autoshow, Wheelspin",
Nissan,2002 Nissan Silvia Spec-R,Retro Sports Cars,551 B,Japan,"Autoshow, Wheelspin",
Nissan,2003 Nissan Fairlady Z,Retro Sports Cars,534 B,Japan,"Autoshow, Wheelspin",
Nissan,2010 Nissan 370Z,Modern Sports Cars,568 B,Japan,Seasonal,
Nissan,2012 Nissan GT-R Black Edition (R35),Modern Supercars,703 S1,Japan,"Autoshow, Wheelspin",
Nissan,2012 Nissan GT-R Black Edition (R35) Forza Edition,Extreme Track Toys,850 S2,Japan,"Wheelspin, Seasonal",
Nissan,2017 Nissan GT-R (R35),Modern Supercars,709 S1,Japan,"Autoshow, Wheelspin",
Nissan,2019 Nissan 370Z Nismo,Modern Sports Cars,603 A,Japan,"Autoshow, Wheelspin",
Nissan,2020 Nissan GT-R NISMO (R35),Track Toys,736 S1,Japan,"Autoshow, Wheelspin",
Nissan,2024 Nissan GT-R Nismo,Track Toys,741 S1,Japan,"Autoshow, Collection Journal",
Nissan,2024 Nissan Z NISMO,Modern Sports Cars,652 A,Japan,"Autoshow, Wheelspin",
Noble,2010 Noble M600,Modern Supercars,793 S1,UK,"Autoshow, Wheelspin",
Opel,1984 Opel Manta 400,Rally Monsters,576 B,Germany,"Autoshow, Collection Journal",
Pagani,2009 Pagani Zonda R,Extreme Track Toys,918 R,Italy,"Autoshow, Wheelspin",
Pagani,2010 Pagani Zonda Cinque Roadster,Hypercars,812 S2,Italy,Autoshow,
Pagani,2016 Pagani Huayra BC Coupe,Hypercars,851 S2,Italy,"Autoshow, Wheelspin",
Pagani,2021 Pagani Huayra R,Extreme Track Toys,954 R,Italy,Seasonal,
Peel,1962 Peel P50,Cult Cars,100 D,UK,"Autoshow, Wheelspin",
Peel,1962 Peel P50 Trolli Edition,Cult Cars,100 D,UK,Autoshow DLC,Partnership DLC
Penhall,2011 Penhall The Cholla,Unlimited Buggies,541 B,USA,"Autoshow, Wheelspin",
Peugeot,1984 Peugeot 205 Turbo 16,Retro Rally,500 C,France,Collection Journal,
Peugeot,1991 Peugeot 205 Rallye,Retro Hot Hatch,350 D,France,"Autoshow, Wheelspin",
Peugeot,2007 Peugeot 207 Super 2000,Rally Monsters,632 A,France,Seasonal,
Plymouth,1958 Plymouth Fury,Rods and Customs,361 D,USA,"Autoshow, Wheelspin",
Plymouth,1968 Plymouth Barracuda Formula S,Classic Muscle,445 C,USA,"Autoshow, Wheelspin",
Plymouth,1971 Plymouth Cuda 426 HEMI,Classic Muscle,441 C,USA,"Autoshow, Wheelspin",
Polaris,2021 Polaris RZR Pro XP Factory Racing Limited Edition,UTV's,439 C,USA,"Autoshow, Wheelspin",
Polaris,2021 Polaris RZR Pro XP Ultimate,UTV's,496 C,USA,"Autoshow, Collection Journal",
Pontiac,1977 Pontiac Firebird Trans Am,Classic Muscle,312 D,USA,"Autoshow, Wheelspin",
Pontiac,1987 Pontiac Firebird Trans Am GTA,Retro Muscle,382 D,USA,"Autoshow, Wheelspin",
Porsche,1970 Porsche #3 917 LH,Classic Racers,777 S1,Germany,"Autoshow, Collection Journal",
Porsche,1970 Porsche #3 917 LH Forza Edition,Extreme Track Toys,998 R,Germany,"Wheelspin, Seasonal",
Porsche,1973 Porsche 911 Carrera RS,Rare Classics,490 C,Germany,"Autoshow, Wheelspin",
Porsche,1982 Porsche 911 Turbo 3.3,Retro Supercars,550 B,Germany,Collection Journal,
Porsche,1985 Porsche #185 959 Prodrive Rally Raid,Rally Monsters,623 A,Germany,"Autoshow, Wheelspin",
Porsche,1987 Porsche 959,Retro Supercars,661 A,Germany,Collection Journal,
Porsche,1989 Porsche 944 Turbo,Retro Sports Cars,539 B,Germany,"Autoshow, Wheelspin",
Porsche,1993 Porsche 911 Turbo S Leichtbau,Retro Sports Cars,652 A,Germany,Seasonal,
Porsche,1993 Porsche 928 GTS,Retro Sports Cars,563 B,Germany,"Autoshow, Wheelspin",
Porsche,1993 Porsche 968 Turbo S,Retro Sports Cars,594 B,Germany,"Autoshow, Wheelspin",
Porsche,1995 Porsche 911 GT2,Retro Supercars,644 A,Germany,"Wheelspin, Seasonal",
Porsche,1997 Porsche 911 GT1 Strassenversion,Retro Supercars,746 S1,Germany,"Autoshow, Wheelspin",
Porsche,2003 Porsche Carrera GT,Retro Supercars,758 S1,Germany,"Collection Journal, Seasonal",
Porsche,2004 Porsche 911 GT3,Retro Supercars,674 A,Germany,"Autoshow, Wheelspin",
Porsche,2005 Porsche Cayman GT3 WTAC,Extreme Track Toys,856 S2,Germany,"Autoshow, Wheelspin",
Porsche,2012 Porsche 911 GT3 RS 4.0,Track Toys,726 S1,Germany,"Autoshow, Collection Journal",
Porsche,2014 Porsche 918 Spyder,Hypercars,858 S2,Germany,"Autoshow, Collection Journal",
Porsche,2018 Porsche 718 Cayman GTS,Modern Sports Cars,675 A,Germany,"Autoshow, Wheelspin",
Porsche,2018 Porsche 911 GT2 RS,Track Toys,803 S2,Germany,"Autoshow, Wheelspin",
Porsche,2018 Porsche Cayenne Turbo,Sports Utility Heroes,638 A,Germany,"Autoshow, Wheelspin",
Porsche,2018 Porsche Macan LPR Rally Raid,Offroad,528 B,Germany,"Autoshow, Wheelspin",
Porsche,2019 Porsche #70 Porsche Motorsport 935,Extreme Track Toys,853 S2,Germany,"Autoshow, Wheelspin",
Porsche,2019 Porsche 911 Carrera S,Modern Sports Cars,714 S1,Germany,"Autoshow, Wheelspin",
Porsche,2019 Porsche 911 GT3 RS,Track Toys,760 S1,Germany,"Wheelspin, Seasonal",
Porsche,2020 Porsche Taycan Turbo S,Modern Super Saloons,725 S1,Germany,"Autoshow, Wheelspin",
Porsche,2021 Porsche 911 GT3,Track Toys,752 S1,Germany,"Autoshow, Wheelspin",
Porsche,2021 Porsche Mission R,Extreme Track Toys,865 S2,Germany,"Autoshow, Wheelspin",
Porsche,2022 Porsche 718 Cayman GT4 RS,Track Toys,737 S1,Germany,"Autoshow, Collection Journal",
Porsche,2023 Porsche 911 GT3 RS,Track Toys,758 S1,Germany,"Autoshow, Wheelspin",
